,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
3,g,SHALLOT JULIENNE,,,0.21,kg,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.03,,
80,g,BROWN RICE,,,5.68,kg,0.80,0.56,0.80,0.56,0.80,0.80,0.48,0.88,,
2,ea,BLANCHED CABBAGE LEAF,,,142,ea,20,14,20,14,20,20,12,22,,
F0506065,,SEARED FLATHEAD FILLET GINGER SOY JASMINE RICE,Mascot,Mascot,0,units,0,0,0,0,0,0,0,0,,
130,g,SEARED FLATHEAD FISH,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
30,g,GINGER AND SOY BROTH,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
80,g,STEAMED JASMINE RICE,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,ea,BLANCHED CABBAGE LEAF,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
F1402001,,BOK CHOY BLANCHED FOR F0505922 F0506065,Mascot,Mascot,71,units,10,7,10,7,10,10,6,11,,
60,g,BLANCHED BOK CHOY,,,4.26,kg,0.60,0.42,0.60,0.42,0.60,0.60,0.36,0.66,,
F0505957,,SEARED CHICKEN BREAST GINGER SOY JASMINE RICE,Mascot,Mascot,122,units,14,8,17,19,15,20,13,16,,
130,g,"SEARED GINGER AND SHALLOT CHICKEN SKIN ON, BONELESS",,,15.86,kg,1.82,1.04,2.21,2.47,1.95,2.60,1.69,2.08,,
10,g,GINGER AND SOY BROTH,,,1.22,kg,0.14,0.08,0.17,0.19,0.15,0.20,0.13,0.16,,
80,g,JASMINE RICE,,,9.76,kg,1.12,0.64,1.36,1.52,1.20,1.60,1.04,1.28,,
2,ea,BLANCHED CABBAGE,,,244.00,ea,28,16,34,38,30,40,26,32,,
F1402008,,GARNISH GINGER SHALLOT RELISH FOR F0505957,Mascot,Mascot,122,units,14,8,17,19,15,20,13,16,,
20,g,GINGER AND SHALLOT RELISH,,,2.44,kg,0.28,0.16,0.34,0.38,0.30,0.40,0.26,0.32,,
F1401768,,GARNISH BOK CHOY 2P20 FOR F0505957,Mascot,Mascot,122,units,14,8,17,19,15,20,13,16,,
60,g,BLANCH BOK CHOY QUARTER,,,7.32,kg,0.84,0.48,1.02,1.14,0.90,1.20,0.78,0.96,,
F0303904,,SALAD ANCIENT GRAIN HERB BROCCOLINI 2U802 - QF9,Mascot,Mascot,0,units,0,0,0,0,0,0,0,0,,
80,g,POACHED CHICKEN BREAST (APPROX. 5MM),,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
100,g,"ANCIENT GRAIN, EDAMAME AND HERB SALAD",,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
20,g,BROCOLLINI BLANCH,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
F1402011,,HARISSA DRESSING FOR CHICK ANCIENT GRAINS,Mascot,Mascot,68,units,9,7,9,8,8,9,9,9,,
20,g,HARISSA DRESSING,,,1.36,kg,0.18,0.14,0.18,0.16,0.16,0.18,0.18,0.18,,
,,,,,6,,,,,,,,,,6,
,,,,,,,,,,,,,,,,
,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
,,SANDWICH,,,,,,,,,,,,,,
F0600302,,STEAK SANDWICH,Mascot,Mascot,137,units,20,14,20,13,20,19,11,20,,
1,ea,1 X 15CM LENGTH SOURDOUGH BAGUETTE,,,137,ea,20,14,20,13,20,19,11,20,,
2,ea,40GM ea RW GRILL MARKED MINUTE STEAK,,,274,ea,40,28,40,26,40,38,22,40,,
10,g,FRESH BABY ROCKET LEAVES,,,1.37,kg,0.20,0.14,0.20,0.13,0.20,0.19,0.11,0.20,,
50,g,TOMATO AND CHILLI RELISH,,,6.85,kg,1.00,0.70,1.00,0.65,1.00,0.95,0.55,1.00,,
F0601725,,MILK BUNS WITH MUSTARD FOR SMOKED SALMON ROLL,Mascot,Mascot,692,units,76,71,105,76,110,86,92,76,,
1,EA,MILK BUN 10CM CUT IN HALF FILLED WITH,Marrickville,,692,ea,76,71,105,76,110,86,92,76,,
5,g,MUSTARD SPREAD,,,3.46,kg,0.38,0.36,0.53,0.38,0.55,0.43,0.46,0.38,,
F1401996,,FENNEL SLAW SMOKE SALMON FOR F0601725,Mascot,Mascot,692,units,76,71,105,76,110,86,92,76,,
